Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,35
428570,433358,≥4,2014-01-18,08:10:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,21
428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,35
436281,434705,1,2014-01-18,15:40:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,69
423751,438006,1,2014-01-18,14:15:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,65
428396,429075,2,2014-01-18,16:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Female,33
427569,436871,2,2014-01-19,14:10:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
425328,435434,1,2014-01-19,12:30:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,30
427483,432592,2,2014-01-19,13:00:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,29
427431,432842,2,2014-01-20,19:09:00,Unclassified,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Male,50
432466,435818,2,2014-01-20,16:52:00,A,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Slight,Male,40
428773,432733,2,2014-01-20,11:28:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,22
430503,434083,2,2014-01-20,01:45:00,A(M),Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Passenger,Slight,Male,45
426338,438929,2,2014-01-21,07:30:00,Unclassified,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver,Slight,Male,51
428098,434508,1,2014-01-21,09:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,79
430540,430969,2,2014-01-21,09:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,48
432395,434811,1,2014-01-21,11:20:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,28
430540,430969,2,2014-01-21,09:25:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,46
428370,431571,≥4,2014-01-22,18:10:00,Motorway,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver,Slight,Female,35
424019,437714,2,2014-01-23,00:19:00,A,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle,Driver,Slight,Male,18
426175,434168,2,2014-01-23,13:12:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Female,48
421124,434795,2,2014-01-23,08:45:00,Unclassified,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver,Slight,Male,9
425092,431058,2,2014-01-23,16:45:00,A,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver,Slight,Male,58
424290,428961,1,2014-01-23,15:30:00,Unclassified,Dry,Daylight: Street lights present,Fine without high winds,Bus,Passenger,Slight,Female,80
429027,432099,2,2014-01-23,15:44:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver,Slight,Male,53
429027,432099,2,2014-01-23,15:44:00,Unclassified,Wet/Damp,Daylight: Street lights present,Fine without high winds,Goods vehicle,Driver,Slight,Male,30
428720,433195,2,2014-01-23,16:25:00,A,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Passenger,Slight,Male,10
436651,428691,1,2014-01-23,17:30:00,A,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,17
428116,426651,2,2014-01-24,19:55:00,A,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver,Slight,Male,49
